"","Name","Year_drafted","GP","MIN","PTS","FG_made","FGA","FG_percent","TP_made","TPA","TP_percent","FT_made","FTA","FT_percent","OREB","DREB","REB","AST","STL","BLK","TOV","Yrs","Target"
"151","John Shasky",1988,65,14.5,5.5,1.9,3.8,48.8,0,0,0,1.8,2.6,68.9,1.5,2.1,3.6,0.3,0.2,0.2,0.7,3,0
"152","Ivan Johnson",2011,56,16.7,6.4,2.5,4.9,51.3,0,0.1,33.3,1.3,1.8,72,1.2,2.9,4,0.6,0.8,0.3,1.2,2,0
"153","Patrick Ewing",1985,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,1,0
"154","Billy Thomas",2004,25,14.2,3.7,1.4,3.8,36.2,0.7,2.2,30.4,0.3,0.4,77.8,0.3,1.2,1.4,0.7,0.6,0,0.4,3,0
"155","Trevor Ruffin",1994,49,6.5,4.8,1.7,4,42.6,0.8,2,38.4,0.6,0.8,71.1,0.2,0.3,0.5,1,0.3,0,1,2,0
"156","Eddie Phillips",1982,48,8.7,3.2,1.2,2.9,40.6,0,0,0,0.8,1.2,67.8,0.6,1,1.6,0.6,0.3,0.2,1,1,0
"157","Ray Blume",1981,49,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.3,0.6,0.8,1.4,0.5,0,1.1,1,0
"158","Brooks Thompson",1994,38,6.5,3.1,1.2,3,39.5,0.5,1.5,31,0.2,0.3,66.7,0.2,0.4,0.6,1.1,0.3,0.1,0.7,4,0
"159","Tierre Brown",2001,40,10.1,3.1,1.2,2.9,42.6,0.1,0.3,33.3,0.5,0.7,75,0.3,0.8,1.1,1.8,0.5,0.1,1,4,0
"160","Chris Washburn",1986,35,11,3.8,1.6,4.1,39.3,0,0,0,0.5,1.5,35.3,1,1.9,2.9,0.5,0.2,0.2,1.1,2,0
"161","Donald Sloan",2011,33,20.3,5.5,2.4,6,39.9,0.1,0.8,8,0.7,0.9,76.7,0.5,1.5,2,3.2,0.4,0.1,1.5,5,0
"162","Rick Calloway",1990,64,10.6,3.2,1.2,3,39.1,0,0,0,0.9,1.2,69.6,0.4,0.8,1.2,1,0.3,0.1,0.8,1,0
"163","Michael Anderson",1988,36,20.3,5.7,2,4.9,41.7,0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1,0
"164","Walter Berry",1986,63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3,0
"165","Anthony Tucker",1994,62,15.8,3.9,1.5,3.4,45.7,0,0,0,0.8,1.3,61.4,0.7,2,2.7,1.1,0.7,0.2,0.9,1,0
"166","Ed Rains",1981,49,13,3.9,1.6,3.6,43.5,0,0,0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0,0.5,2,0
"167","Greg Minor",1994,63,15,6,2.5,4.8,51.5,0,0.2,16.7,1,1.2,83.3,0.8,1.4,2.2,1,0.5,0.3,0.7,5,0
"168","Travis Mays",1990,64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4,5.2,77,0.8,1.9,2.8,4,1.3,0.2,2.5,3,0
"169","Rodrick Rhodes",1997,58,18.4,5.8,1.9,5.3,36.7,0,0.1,25,1.9,3.1,61.7,0.5,0.7,1.2,1.9,1.1,0.2,1.7,3,0
"170","Harold Ellis",1993,49,18.8,8.7,3.2,6,54.5,0,0.1,0,2.2,3,71.1,1.9,1.2,3.1,0.6,1.5,0,0.9,3,0
"171","Ricky Wilson",1987,24,17.5,5.2,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1,1.1,2.9,1,0.1,1,1,0
"172","Larry Micheaux",1983,39,8.5,3.1,1.3,2.3,54.4,0,0,0,0.5,1,53.8,1,1.9,2.9,0.5,0.5,0.3,0.5,2,0
"173","Darren Tillis",1982,52,10.1,3.2,1.5,3.5,42,0,0,0,0.3,0.5,57.1,0.8,1.7,2.5,0.3,0.1,0.6,0.4,2,0
"174","Dajuan Wagner",2002,47,29.5,13.4,4.7,12.9,36.9,1.2,3.7,31.6,2.7,3.4,80,0.4,1.3,1.7,2.8,0.8,0.1,1.8,4,0
"175","Jamie Feick",1996,41,15.2,3.7,1.4,3.8,35.7,0.1,0.3,35.7,0.8,1.6,50.7,2,3.2,5.2,0.6,0.4,0.3,0.8,5,0
"176","Charles Smith",1989,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,3,0
"177","Mustafa Shakur",2010,22,7.2,2.3,1,2.7,35.6,0,0.5,10,0.4,0.7,53.3,0.3,0.7,1,1.1,0.2,0.1,0.8,2,0
"178","Sam Young",2009,80,16.5,7.4,2.8,6.2,45.1,0.1,0.7,19.6,1.7,2.2,77.7,1,1.6,2.5,0.7,0.4,0.3,1.2,4,0
"179","Chris Corchiani",1991,51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,3,0
"180","Darnell Mee",1993,38,7.5,1.9,0.7,2.3,31.8,0.1,0.6,20.8,0.3,0.7,44.4,0.4,0.5,0.9,0.4,0.4,0.3,0.5,2,0
"181","Eric Johnson",1989,48,5.7,1.1,0.4,1.8,23.8,0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0.6,1.3,0.3,0,0.5,1,0
"182","Mark Radford",1981,43,8.6,3.4,1.3,2.3,54,0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1,2,0
"183","Junior Harrington",2002,82,24.4,5.1,2.1,5.7,36.2,0.1,0.3,25,0.9,1.4,65.2,0.5,2.5,3,3.4,1,0.2,1.9,3,0
"184","Walter Bond",1992,74,21.3,8,3.1,7.6,40.2,0.1,0.6,16.7,1.7,2.3,77.2,0.7,1.9,2.6,1.6,1,0.2,1.5,3,0
"185","Demetris Nichols",2007,14,3.1,1.1,0.4,1.6,26.1,0.2,0.9,23.1,0,0,0,0,0.4,0.4,0.1,0,0.2,0.3,2,0
"186","Richard Dumas",1992,48,27.5,15.8,6.3,12,52.4,0,0.1,33.3,3.2,4.5,70.7,2.1,2.6,4.6,1.3,1.8,0.8,1.9,3,0
"187","Lorenzo Romar",1980,53,13.7,4.1,1.6,4,41.2,0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1,5,0
"188","Cedric Jackson",2009,12,6.3,1.7,0.5,1.7,30,0.1,0.5,16.7,0.6,1,58.3,0.2,0.5,0.7,1.2,0.3,0.2,0.9,1,0
"189","Doug Roth",1989,42,9.8,1.9,0.9,2,43,0,0,0,0.2,0.3,50,1,1.8,2.9,0.5,0.2,0.3,0.4,1,0
"190","Tony White",1987,49,11.9,5.3,2.3,5.1,44.6,0,0.1,0,0.8,1.1,72.2,0.2,0.4,0.6,1.2,0.4,0,1,1,0
"191","Lionel Chalmers",2004,36,12,3.1,1.2,3.5,33.6,0.3,1.4,24.5,0.4,0.7,62.5,0.1,0.8,0.9,1.4,0.4,0,0.7,1,0
"192","Bernard Thompson",1984,59,9.1,3.3,1.3,3.6,37.3,0,0.1,0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,5,0
"193","Ekpe Udoh",2010,58,17.8,4.1,1.7,3.8,43.7,0,0,0,0.7,1.1,65.6,1.4,1.7,3.1,0.7,0.4,1.5,0.8,5,0
"194","Kevin Brooks",1991,37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81,0.4,0.7,1.1,0.3,0.2,0.1,0.5,3,0
"195","Marlon Garnett",1998,24,8.5,2.1,0.6,2.1,29.4,0.3,1,26.1,0.6,0.8,75,0.1,0.8,0.9,0.8,0.2,0,0.5,1,0
"196","Joe Crispin",2001,21,7.4,3.8,1.2,3.2,38.2,0.7,1.9,38.5,0.6,0.6,92.3,0.1,0.4,0.5,1.2,0.2,0,0.5,1,0
"197","Ralph Lewis",1987,50,6.2,1.7,0.5,1.7,31,0,0,0,0.6,1,60.4,0.3,0.7,1,0.3,0.3,0.1,0.4,3,0
"198","Lester Hudson",2009,25,5.2,2.3,0.8,2.1,39.6,0.2,0.6,31.3,0.4,0.5,84.6,0.3,0.4,0.7,0.5,0.3,0.1,0.6,4,0
"199","Fred Cofield",1985,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,2,0
"200","Andrae Patterson",1998,35,8.1,3.3,1.2,2.8,44.3,0,0.1,0,0.8,1,77.8,0.9,1,1.9,0.4,0.5,0.2,0.6,2,0
"201","Ben Uzoh",2010,42,10.4,3.8,1.5,3.4,42.4,0.1,0.2,37.5,0.8,1.3,58.9,0.7,0.7,1.5,1.6,0.3,0.2,0.6,2,0
"202","Randolph Keys",1988,42,7.9,4,1.8,4.1,43,0,0.2,10,0.5,0.7,69,0.5,0.8,1.3,0.5,0.3,0.1,0.5,5,0
"203","Rich King",1991,40,5.3,2.2,0.7,1.8,38,0,0,0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,4,0
"204","Brian Davis",1993,68,5.5,1.9,0.6,1.9,31.7,0,0,33.3,0.7,1,73.5,0.3,0.5,0.8,0.3,0.2,0.1,0.3,1,0
"205","Henry Turner",1989,36,8.8,4.3,1.6,3.4,47.5,0,0.1,0,1.1,1.8,61.5,0.6,0.8,1.4,0.6,0.5,0.2,0.7,2,0
"206","Lawrence Roberts",2005,33,5.5,1.5,0.6,1.3,45.5,0,0.1,0,0.3,0.7,47.8,0.8,0.7,1.5,0.2,0.2,0.1,0.1,2,0
"207","Craig Neal",1988,53,9.4,2.2,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0.5,2.2,0.5,0.1,1,2,0
"208","Allan Ray",2006,47,15.1,6.2,2.1,5.5,38.6,1,2.5,41.4,0.9,1.2,76.4,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1,0
"209","Greg Graham",1993,70,12.7,4.8,1.7,4.4,40,0,0.4,8,1.3,1.6,83.6,0.3,0.9,1.2,0.9,0.9,0.1,0.9,5,0
"210","Sean Lampley",2002,35,13.9,4.8,1.6,3.7,43.4,0,0.1,0,1.6,2.3,69.5,0.7,1.6,2.4,0.9,0.2,0.1,0.7,2,0
"211","Rory White",1982,65,9.6,5,2,3.6,54.3,0,0,0,1.1,1.7,64.2,0.7,0.9,1.6,0.5,0.3,0,0.8,5,0
"212","Elmore Spencer",1992,44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,5,0
"213","Jerald Honeycutt",1997,38,13.9,6.4,2.4,5.8,40.7,0.8,2,37.7,0.9,1.5,62.1,0.7,1.7,2.4,0.9,0.5,0.2,1.3,2,0
"214","Howard Carter",1983,55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,2,0
"215","Donell Taylor",2005,51,9.1,2.7,1,2.7,39,0.1,0.3,23.5,0.6,0.8,69.8,0.3,0.7,1,0.9,0.6,0.1,0.7,2,0
"216","Jose Slaughter",1982,63,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,1,0
"217","Mike Batiste",2002,75,16.6,6.4,2.6,6.2,42.2,0.2,1.1,22.2,0.9,1.2,78.4,1.1,2.3,3.4,0.7,0.6,0.2,0.9,1,0
"218","Conner Henry",1986,54,6,2.3,0.9,2.5,33.8,0.2,0.8,31,0.3,0.5,63,0.1,0.5,0.6,0.6,0.2,0,0.5,2,0
"219","Chris Herren",1999,45,13.3,3.1,1,2.8,36.3,0.5,1.5,35.8,0.6,0.9,67.5,0.3,0.9,1.2,2.5,0.3,0,0.9,2,0
"220","William Avery",1999,59,8.2,2.6,0.9,3.1,30.9,0.3,1.1,28.6,0.4,0.6,66.7,0.1,0.5,0.7,1.5,0.2,0,0.7,3,0
"221","Alfredrick Hughes",1985,68,12.7,5.2,2.2,5.5,40.9,0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,1,0
"222","Anthony Frederick",1988,46,6.8,3.3,1.4,2.7,50.4,0,0.1,40,0.5,0.7,70.6,0.6,0.6,1.1,0.4,0.3,0.1,0.7,3,0
"223","Rickey Brown",1980,45,12.9,4,1.8,3.6,51.2,0,0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,5,0
"224","Mike Williams",1989,21,4.9,0.7,0.3,0.9,33.3,0,0,0,0.1,0.3,50,0.2,0.9,1.1,0.1,0.1,0.3,0.1,1,0
"225","Tom Garrick",1988,71,21.1,6.4,2.5,5.1,49,0,0.2,0,1.4,1.8,80.3,0.5,1.7,2.2,3.4,1.1,0.1,1.6,4,0
"226","John Douglas",1981,64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,2,0
"227","Doug Smith",1991,76,22.5,8.8,3.8,9.2,41.5,0,0.1,0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,5,0
"228","James Wilkes",1980,48,11.3,4.1,1.8,3.8,46.2,0,0,0,0.6,0.9,69,0.8,1.3,2,0.6,0.5,0.3,0.7,3,0
"229","Qyntel Woods",2002,53,6.3,2.4,1.1,2.2,50,0.1,0.2,33.3,0.1,0.4,35,0.3,0.7,1,0.2,0.3,0,0.4,4,0
"230","Darrin Hancock",1994,46,9.2,3.3,1.5,2.6,56.2,0,0.1,33.3,0.3,0.8,41,0.3,0.8,1.2,0.7,0.4,0.1,0.7,3,0
"231","Josh Harrellson",2011,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,3,0
"232","Paul Thompson",1983,82,21.1,9,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,3.8,1.5,0.8,0.5,0.9,3,0
"233","Corey Benjamin",1998,31,10.3,3.8,1.4,3.8,37.6,0.1,0.5,21.4,0.9,1.3,67.5,0.5,0.8,1.3,0.3,0.3,0.3,0.7,4,0
"234","Randy Woods",1992,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,4,0
"235","Bobby Jones",2006,44,7.6,2.5,1,2.1,46.2,0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.3,0,0.4,2,0
"236","John Stroeder",1987,41,6.6,1.9,0.7,1.9,36.7,0,0,0,0.5,0.7,66.7,0.6,1.1,1.7,0.5,0.1,0.3,0.6,2,0
"237","Jamario Moon",2007,78,27.8,8.5,3.6,7.4,48.5,0.5,1.6,32.8,0.8,1.1,74.1,1.2,5,6.2,1.2,1,1.4,0.7,5,0
"238","Quincy Pondexter",2010,66,11.1,2.8,1.1,2.7,40.6,0.3,0.8,36,0.4,0.5,70.6,0.3,1,1.3,0.4,0.3,0.1,0.2,5,0
"239","Tate George",1990,56,10.6,3.4,1.4,3.4,41.5,0,0,0,0.6,0.7,80,0.3,0.5,0.8,1.9,0.5,0.1,0.8,4,0
"240","Mark Randall",1991,54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,4,0
"241","Kevin Pritchard",1990,62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1,1.2,80.5,0.3,0.8,1,1.3,0.5,0.1,0.9,4,0
"242","Kevin Loder",1981,71,16,6.9,2.9,6.3,46.4,0,0.2,0,1.1,1.5,72,1,1.8,2.7,1.2,0.5,0.4,1,3,0
"243","Marcus Williams",2006,79,16.6,6.8,2.6,6.7,39.5,0.6,2.1,28.2,0.9,1.1,84.7,0.4,1.7,2.1,3.3,0.4,0,1.8,4,0
"244","Norris Cole",2011,65,19.4,6.8,2.7,6.9,39.3,0.3,1.2,27.6,1,1.3,77.6,0.3,1.1,1.4,2,0.7,0,1.6,5,0
"245","Bobby Brown",2008,68,13.7,5.3,2.1,5.3,39.2,0.7,1.9,34.6,0.5,0.6,79.1,0.2,0.6,0.8,1.7,0.3,0,0.9,3,0
"246","Grant Gondrezick",1986,64,13.1,5.5,2.1,4.7,45,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1,1.7,1.3,0.4,0.1,0.9,2,0
"247","John Morton",1989,37,10.9,3.9,1.3,4.4,29.8,0.2,0.8,23.3,1.2,1.7,69.4,0.2,0.7,0.9,1.8,0.5,0.1,1.4,3,0
"248","Orien Greene",2005,80,15.4,3.2,1.3,3.2,39.5,0.1,0.5,22.5,0.6,0.9,66.2,0.5,1.4,1.8,1.6,1,0.1,1.4,4,0
"249","Andre Brown",2006,38,7.1,2.4,1.1,1.9,56.8,0,0,0,0.2,0.4,60,0.7,1.3,1.9,0.1,0.2,0.1,0.8,3,0
"250","Harold Pressley",1986,67,13.6,4.6,2,4.7,42.3,0.1,0.4,25,0.5,0.7,72.9,1,1.6,2.6,1.8,0.6,0.3,0.9,4,0
"251","Dirk Minniefield",1985,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27,1,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0,1.4,3,0
"252","Jordan Hamilton",2011,26,9.9,4.4,1.8,4.3,43.2,0.7,1.8,36.2,0.1,0.2,40,0.4,2,2.4,0.8,0.1,0.1,0.6,5,0
"253","Eric Mobley",1994,46,12.8,3.9,1.7,2.9,59.1,0,0,100,0.5,1,48.9,1.2,2.1,3.3,0.5,0.2,0.6,0.5,3,0
"254","Charles Jones",1984,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,4,0
"255","Lowes Moore",1980,71,19.8,7,3,6.7,44.4,0.1,0.4,14.8,1,1.3,75,0.6,1.8,2.4,3.2,0.9,0.2,1.5,3,0
"256","Bubba Wells",1997,39,10.1,3.3,1.2,3,41.4,0,0.2,16.7,0.8,1.1,72.1,0.6,1.2,1.7,0.9,0.4,0.1,0.8,1,0
"257","Doug Lee",1991,46,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0,0.3,3,0
"258","Tamar Slay",2002,36,7.6,2.6,1.1,2.9,37.9,0.2,0.7,28,0.2,0.3,70,0.2,0.6,0.9,0.4,0.4,0.1,0.6,3,0
"259","David Noel",2006,68,11.6,2.7,1,2.6,36.7,0.3,0.8,32.1,0.5,0.6,86,0.6,1.2,1.8,1,0.4,0.1,0.6,1,0
"260","Tharon Mayes",1991,24,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,1,0
"261","Terrence Rencher",1995,36,11.3,2.9,0.9,2.8,33,0.3,0.8,31,0.9,1.3,67.4,0.3,1,1.2,1.5,0.4,0.1,1.2,1,0
"262","Dave Johnson",1992,42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0,0.7,2,0
"263","Steve Hamer",1996,35,7.7,2.2,0.9,1.6,52.6,0,0.1,0,0.5,0.8,55.2,0.5,1.2,1.7,0.2,0.1,0.1,0.4,1,0
"264","Gerald Glass",1990,51,11.9,6.9,2.9,6.7,43.8,0,0.3,11.8,1,1.5,68.4,1.1,0.9,2,0.8,0.6,0.2,0.8,4,0
"265","Derrick Brown",2009,57,9.4,3.3,1.2,2.6,46.3,0,0.1,28.6,0.8,1.3,66.7,0.5,0.8,1.4,0.3,0.4,0.2,0.3,3,0
"266","Al Thornton",2007,79,27.3,12.7,4.7,11,42.9,0.5,1.6,33.1,2.7,3.6,74.3,1.2,3.3,4.5,1.2,0.6,0.5,1.6,4,0
"267","Eric Riley",1993,47,4.7,1.9,0.7,1.5,48.6,0,0,0,0.4,0.8,54.1,0.5,0.7,1.3,0.2,0.1,0.2,0.3,5,0
"268","Sean Singletary",2008,37,8.2,2.4,0.8,2.3,36.5,0.3,0.7,40,0.5,0.6,85.7,0.3,0.7,0.9,0.8,0.3,0,0.6,1,0
"269","Mario West",2007,64,4.2,0.9,0.3,0.8,42.9,0,0.1,0,0.3,0.4,65.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,4,0
"270","Landry Fields",2010,82,31,9.7,3.6,7.3,49.7,1,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1,0.2,1.3,5,0
"271","Larry Sanders",2010,60,14.5,4.3,1.9,4.5,43.3,0,0,0,0.5,0.8,56,1,2,3,0.3,0.4,1.2,0.6,5,0
"272","Gerald Fitch",2005,18,13.3,4.7,1.7,4.9,33.7,0.4,1.4,26.9,0.9,1.3,73.9,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1,0
"273","Clinton Wheeler",1987,59,8.7,2.5,1.1,2.2,47,0,0,0,0.4,0.6,73.5,0.3,0.4,0.7,1.7,0.6,0,0.9,2,0
"274","Howard Wright",1990,15,10.9,3.6,1.3,3.1,40.4,0,0.1,0,1.1,1.6,66.7,0.8,2.2,3,0.2,0.3,0.3,0.7,2,0
"275","Ben Coleman",1986,68,15.1,6.6,2.7,4.6,58.1,0,0,0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,5,0
"276","Nolan Smith",2011,44,12.3,3.8,1.5,4.1,37.2,0.3,1,28.9,0.5,0.6,71.4,0.4,0.9,1.3,1.4,0.4,0.1,0.9,2,0
"277","Cal Bowdler",1999,46,9.2,2.7,1.1,2.5,42.6,0,0,0,0.5,0.8,63.2,0.5,1.4,1.8,0.3,0.3,0.2,0.5,3,0
"278","Paul Graham",1991,78,22,10.1,3.9,8.7,44.7,0.7,1.8,39,1.6,2.2,74.1,0.9,2,3,2.2,1.2,0.3,1.2,3,0
"279","Tony Dumas",1994,58,10.6,4.6,1.7,4.3,38.4,0.4,1.3,30.1,0.9,1.3,64.9,0.6,0.5,1.1,1,0.2,0.1,0.9,4,0
"280","Brandon Armstrong",2001,35,5.6,1.8,0.8,2.4,31.8,0.1,0.5,29.4,0.1,0.3,50,0.3,0.2,0.5,0.2,0.2,0,0.2,3,0
"281","Jerrod Mustaf",1990,62,13.3,4.3,1.7,3.7,46.5,0,0,0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1,4,0
"282","Randy White",1989,55,12.9,4.3,1.7,4.6,36.9,0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.4,0.1,0.8,5,0
"283","Litterial Green",1992,52,12,4.5,1.7,3.8,43.9,0,0.2,10,1.2,1.8,62.5,0.2,0.4,0.7,2.2,0.4,0.1,0.8,5,0
"284","Andrew Goudelock",2011,40,10.5,4.4,1.7,4.4,39.1,0.7,1.9,37.3,0.3,0.3,91.7,0.1,0.7,0.8,0.5,0.1,0,0.5,3,0
"285","Keith Lee",1985,58,20.6,7.4,3.1,6.6,46.6,0,0.2,22.2,1.3,1.7,78.1,2,4.1,6.1,1.2,0.5,0.6,1.3,3,0
"286","Calvin Garrett",1980,70,23.4,6.1,2.7,5.9,45.3,0,0,33.3,0.7,0.9,80.6,1.2,2.6,3.8,1.9,0.7,0.1,1.3,4,0
"287","Kenny Fields",1984,51,10.5,3.8,1.6,3.7,44,0,0,0,0.5,0.7,75,0.8,0.8,1.6,0.7,0.2,0.2,0.6,4,0
"288","John Duren",1980,40,11.5,1.8,0.8,2.5,32.7,0,0,0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,3,0
"289","Kenny Williams",1990,75,7,2.9,1.2,2.4,52,0,0,0,0.5,0.7,68,0.7,1,1.7,0.4,0.1,0.4,0.6,4,0
"290","Chris Robinson",1996,41,16.6,4.6,1.7,4.4,37.9,0.8,2.2,38.2,0.4,0.6,61.5,0.6,1.2,1.7,1.6,0.7,0.2,0.8,2,0
"291","Ryan Humphrey",2002,48,9.3,1.9,0.7,2.5,29.2,0,0,0,0.5,0.8,59,0.7,1.4,2.1,0.2,0.2,0.4,0.5,3,0
"292","Rob Kurz",2008,40,11.1,3.9,1.3,3.3,38.9,0.4,1,39.5,1,1.3,80,0.8,1.2,2,0.5,0.3,0.5,0.4,1,0
"293","Othell Wilson",1984,74,17,4.4,1.8,3.9,46,0,0.2,18.8,0.7,1,71.1,0.5,1.3,1.8,2.9,1,0.2,1.3,2,0
"294","J.R. Henderson",1998,30,11,3.2,1.2,3.2,36.5,0.1,0.2,40,0.8,1.5,55.6,0.7,0.9,1.6,0.7,0.3,0.1,0.6,1,0
"295","Scott Haffner",1989,43,13,4.6,2,5,40.6,0.1,0.5,14.3,0.4,0.6,68,0.2,1,1.2,1.9,0.3,0.1,0.8,2,0
"296","Kyle Weaver",2008,56,20.8,5.3,2,4.4,45.9,0.6,1.7,34.4,0.7,1,70.7,0.6,1.8,2.3,1.8,0.8,0.5,1.2,3,0
"297","Malcolm Lee",2011,19,12.8,3.3,1.2,3.1,39,0.1,0.5,20,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,3,0
"298","Cory Higgins",2011,38,11.1,3.9,1.4,4.2,32.5,0.1,0.5,20,1.1,1.6,70,0.2,0.7,0.9,0.9,0.1,0.2,1,2,0
"299","Eric Maynor",2009,81,15.7,4.7,1.9,4.5,41.8,0.3,0.9,31,0.6,0.9,72.2,0.3,1.3,1.6,3.3,0.5,0.1,1.1,5,0
"300","David Rivers",1988,47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,3,0
"301","George Lynch",1993,71,24.8,9.6,4.1,8.1,50.8,0,0.1,0,1.4,2.3,59.6,3.1,2.7,5.8,1.4,1.4,0.4,1.2,12,1
